FechadeCorte,Entidad,MetaAnual,LogrosObtenidos
2019,Aguascalientes,320,311
2019,Baja California,800,902
2019,Baja California Sur,320,353
2019,Campeche,1392,840
2019,Coahuila ,4000,2034
2019,Colima,603,502
2019,Chiapas,27242,11559
2019,Chihuahua,3520,2060
2019,Distrito Federal,1491,1732
2019,Durango,3040,2288
2019,Guanajuato,9094,3917
2019,Guerrero,16000,8085
2019,Hidalgo,12000,3412
2019,Jalisco,6400,1806
2019,México,23629,7485
2019,Michoacán,15200,4442
2019,Morelos,1810,1106
2019,Nayarit,1840,811
2019,Nuevo León,1120,446
2019,Oaxaca,20274,3659
2019,Puebla,14342,7874
2019,Querétaro,4443,3336
2019,Quintana Roo,1235,1392
2019,San Luis Potosí,10222,4237
2019,Sinaloa,5390,2259
2019,Sonora,5160,2235
2019,Tabasco,4000,2045
2019,Tamaulipas,3822,1360
2019,Tlaxcala,1600,988
2019,Veracruz ,26763,10619
2019,Yucatán,3202,965
2019,Zacatecas,3200,1712
